linux-zen 4.19.12.zen1-1
linux-zen-docs 4.19.12.zen1-1
linux-zen-headers 4.19.12.zen1-1
llvm 7.0.1-1
llvm-libs 7.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lvm2 2.02.183-1
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
make 4.2.1-30
man-db 2.8.4-1
man-pages 4.16-2
mc 4.8.21-1
mdadm 4.0-2
mesa 18.3.1-1
minizip 1:1.2.11-3
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mksh 56.c-4
mpfr 4.0.1-1
nano 3.2-1
ncurses 6.0-333
netctl 1.19-1
nettle 3.4.1-1
ninja 1.8.2-1
nodejs 11.5.0-1
npth 1.6-1
nspr 4.20-1
nss 3.41-1
numactl 2.0.12-1
numix-circle-icon-theme-git 0.r32.7637f41-1
numix-icon-theme-git 0.r1978.53daae839-1
openbox 3.6.1-4
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
os-prober 1.76-1
p11-kit 0.23.14-1
p7zip 16.02-5
package-query 1.9-3
pacman 5.0.2-2
pacman-mirrorlist 20181205-1
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
parted 3.2-7
patch 2.7.6-7
patchelf 0.9-2
patchutils 0.3.4-3
pciutils 3.6.2-1
pcmciautils 018-8
pcre 8.42-1
pcre2 10.32-1
perl 5.28.1-1
perl-data-dump 1.23-4
perl-error 0.17027-1
perl-json 2.97001-1
perl-linux-desktopfiles 0.25-1
perl-locale-gettext 1.07-6
perl-mailtools 2.20-2
perl-parse-yapp 1.21-1
perl-timedate 2.30-5
perl-xml-parser 2.44-7
pinentry 1.1.0-4
pixman 0.36.0-1
pkgconf 1.5.4-1
polkit 0.115+24+g5230646-1
popt 1.16-10
procps-ng 3.3.15-1
psmisc 23.2-1
python 3.7.1-1
python-appdirs 1.4.3-2
python-babel 2.6.0-2
python-chardet 3.0.4-2
python-colorama 0.4.1-1
python-distro 1.3.0-2
python-docutils 0.14-2
python-html5lib 1.0.1-3
python-idna 2.8-1
python-imagesize 1.1.0-1
python-jinja 2.10-2
python-lockfile 0.12.2-3
python-markupsafe 1.1.0-1
python-msgpack 0.5.6-2
python-packaging 18.0-1
python-progress 1.4-2
python-pygments 2.3.1-1
python-pyparsing 2.3.0-1
python-pytz 2018.7-2
python-requests 2.20.1-1
python-retrying 1.3.3-4
python-setuptools 1:40.6.3-1
python-six 1.12.0-1
python-snowballstemmer 1.2.1-3
python-sphinx 1.8.1-2
python-sphinx-alabaster-theme 0.7.11-2
python-sphinx_rtd_theme 0.4.1-1
python-sphinxcontrib-websupport 1.1.0-2
python-sqlalchemy 1.2.15-1
python-urllib3 1.24.1-1
python-webencodings 0.5.1-2
python-whoosh 2.7.4-3
python2 2.7.15-2
python2-appdirs 1.4.3-2
python2-coverage 4.5.2-1
python2-funcsigs 1.0.2-2
python2-mock 2.0.0-4
python2-nose2 0.8.0-1
python2-packaging 18.0-1
python2-pbr 5.1.1-1
python2-pexpect 4.6.0-2
python2-ptyprocess 0.6.0-2
python2-pyparsing 2.3.0-1
python2-setuptools 1:40.6.3-1
python2-six 1.12.0-1
readline 7.0.005-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.6-1
rsync 3.1.3-1
run-parts 4.8.6-1
s-nail 14.9.11-1
samba 4.9.4-1
screenfetch 3.8.0-3
sed 4.5-1
shadow 4.6-1
shared-mime-info 1.10-1
sharutils 4.15.2-3
slang 2.3.2-1
smbclient 4.9.4-1
sound-theme-freedesktop 0.8-3
sqlite 3.26.0-1
squashfs-tools 4.3-8
startup-notification 0.12-6
sudo 1.8.26-2
sysfsutils 2.1.0-10
systemd 239.370-1
systemd-sysvcompat 239.370-1
talloc 2.1.14-1
tar 1.30-2
tdb 1.3.16-1
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
time 1.9-1
tzdata 2018g-1
unzip 6.0-13
usbutils 010-1
util-linux 2.33-2
vim-runtime 8.1.0570-1
wayland 1.16.0-1
wayland-protocols 1.17-1
wget 1.20-1
which 2.21-3
wireless_tools 30.pre9-2
wmctrl 1.07-5
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-12
xcb-proto 1.13-2
xcb-util 0.4.0-2
xdg-utils 1.1.3-3
xfsprogs 4.19.0-1
xkeyboard-config 2.25-1
xorg-bdftopcf 1.1-1
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-xdpyinfo 1.3.2-2
xorg-xprop 1.2.3-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
xz 5.2.4-1
yajl 2.1.0-2
yaourt 1.9-1
yasm 1.3.0-3
zip 3.0-8
zlib 1:1.2.11-3
zsh 5.6.2-1
zsh-doc 5.6.2-1
zsh-syntax-highlighting 0.6.0-1
zstd 1.3.7-1
